,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileagev,enginev,max_powerv,torquev,Brand,model_name
134,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,5.0,9.5,3604,280,347Nm,Jeep,Wrangler 2016-2019 3.6 4X4
2840,Volvo S60 D4 SUMMUM,2016,1950000,48000,Diesel,Dealer,Automatic,First Owner,5.0,9.0,1984,181,400Nm,Volvo,S60 D4 SUMMUM
5020,Volvo S60 D4 SUMMUM,2014,2500000,30000,Diesel,Individual,Automatic,First Owner,5.0,9.0,1984,181,400Nm,Volvo,S60 D4 SUMMUM
2134,Honda Accord V6 AT,2005,285000,80000,Petrol,Individual,Automatic,Second Owner,5.0,9.0,2997,218,196Nm,Honda,Accord V6 AT
628,Honda Accord V6 AT,2004,275000,100000,Petrol,Individual,Automatic,Second Owner,5.0,9.0,2997,218,196Nm,Honda,Accord V6 AT
170,Volvo XC90 T8 Excellence BSIV,2017,1000000,30000,Petrol,Individual,Automatic,First Owner,4.0,42.0,1969,400,640Nm,Volvo,XC90 T8 Excellence BSIV
35,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,4.0,33.44,796,40.3,60Nm,Maruti,Alto 800 CNG LXI Optional
3908,Maruti Alto 800 CNG LXI,2017,260000,67000,CNG,Individual,Manual,First Owner,4.0,33.44,796,40.3,60Nm,Maruti,Alto 800 CNG LXI
5815,Maruti Alto 800 LXI CNG,2020,370000,16000,CNG,Individual,Manual,First Owner,5.0,33.0,796,47.3,69Nm,Maruti,Alto 800 LXI CNG
2312,Maruti Wagon R CNG LXI,2013,270000,80000,CNG,Individual,Manual,Second Owner,5.0,32.52,998,58.33,78Nm,Maruti,Wagon R CNG LXI
5789,Maruti Alto K10 LXI CNG,2019,430000,20000,CNG,Individual,Manual,First Owner,4.0,32.26,998,58.3,78Nm,Maruti,Alto K10 LXI CNG
4004,Maruti Alto 800 CNG LXI,2013,178000,70000,CNG,Individual,Manual,Second Owner,5.0,30.46,796,47.3,69Nm,Maruti,Alto 800 CNG LXI
866,Maruti Alto 800 CNG LXI,2012,165000,60000,CNG,Individual,Manual,Second Owner,5.0,30.46,796,47.3,69Nm,Maruti,Alto 800 CNG LXI
498,Maruti Swift Dzire VDI,2019,700000,30000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
1035,Maruti Swift Dzire VDI,2019,757000,25000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
2052,Maruti Swift Dzire VDI,2019,750000,24000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
3234,Maruti Swift AMT ZDI,2019,740000,38000,Diesel,Individual,Automatic,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift AMT ZDI
3630,Maruti Swift VDI,2019,630000,15000,Diesel,Individual,Manual,Second Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
4620,Maruti Swift Dzire VDI,2019,694000,35000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
4983,Maruti Swift Dzire VDI,2019,675000,25000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5292,Maruti Swift Dzire VDI,2019,754000,10000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
5435,Maruti Swift Dzire ZDI Plus,2019,900000,20000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI Plus
5849,Maruti Swift Dzire AMT VDI,2019,825000,7673,Diesel,Individual,Automatic,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire AMT VDI
6592,Maruti Swift Dzire LDI,2019,558000,70000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire LDI
7351,Maruti Swift VDI,2019,690000,20000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
7500,Maruti Swift Dzire ZDI,2019,802999,24000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI
7603,Maruti Swift Dzire VDI,2019,770000,27000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
7608,Maruti Swift Dzire VDI,2019,800000,35700,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
214,Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
510,Maruti Swift Dzire VDI,2018,755000,15000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
987,Maruti Swift Dzire VDI,2018,811000,100000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
1503,Maruti Swift Dzire VDI,2018,650000,35500,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
1959,Maruti Swift Dzire LDI,2018,650000,50000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire LDI
2353,Maruti Swift Dzire VDI,2018,680000,70000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
2692,Maruti Swift Dzire VDI,2018,680000,120000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
3023,Maruti Swift ZDI Plus,2018,700000,60000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift ZDI Plus
3036,Maruti Swift Dzire ZDI,2018,740000,50000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire ZDI
3115,Maruti Swift Dzire AMT ZDI Plus,2018,698000,27654,Diesel,Dealer,Automatic,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire AMT ZDI Plus
3505,Maruti Swift Dzire VDI,2018,700000,100000,Diesel,Individual,Manual,Second Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
3680,Maruti Swift VDI,2018,630000,46000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
4465,Maruti Swift Dzire VDI,2018,800000,35000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
4640,Maruti Swift VDI,2018,675000,23000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
4884,Maruti Swift Dzire VDI,2018,750000,25000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248,74.02,190Nm,Maruti,Swift Dzire VDI
4949,Maruti Swift VDI,2018,755000,39000,Diesel,Dealer,Manual,First Owner,5.0,28.4,1248,74,190Nm,Maruti,Swift VDI
